COUNTY,CATEGORY,VARIABLE,2020,2021,2025,2030,2035,2040,2045,2050
Morrow,Population in Households and Group Quarters,Household Population,34690.0,34876.0,36140,37371,39030,40202,41130,42057
Perry,Population in Households and Group Quarters,Household Population,35101.0,35122.0,36508,37058,37767,38293,38729,39165
Pickaway,Population in Households and Group Quarters,Household Population,54046.0,54696.0,57481,60741,64267,67490,70562,73634
Ross,Population in Households and Group Quarters,Household Population,71109.0,71022.0,70744,70388,70085,69717,69313,68908
Union,Population in Households and Group Quarters,Household Population,59661.0,61452.0,62812,68578,74658,80381,85924,91468
15-County Region,Population in Households and Group Quarters,Household Population 18 - 64,1449212.0,1454277.0,1497375,1545555,1630591,1706439,1780072,1843869
10-County Region,Population in Households and Group Quarters,Household Population 18 - 64,1326415.0,1331509.0,1377318,1427369,1512472,1587281,1659628,1721970
Delaware,Population in Households and Group Quarters,Household Population 18 - 64,127391.0,130250.0,145158,160190,176842,191683,207006,222463
Fairfield,Population in Households and Group Quarters,Household Population 18 - 64,93480.0,94481.0,97089,100198,105596,111585,117826,123686
Fayette,Population in Households and Group Quarters,Household Population 18 - 64,16906.0,16878.0,16928,17200,17529,17830,18212,18621
Franklin,Population in Households and Group Quarters,Household Population 18 - 64,822102.0,820468.0,845543,870544,917397,956274,992560,1020492
Hocking,Population in Households and Group Quarters,Household Population 18 - 64,16144.0,16204.0,15628,15017,14800,14666,14707,14774
Knox,Population in Households and Group Quarters,Household Population 18 - 64,32781.0,32851.0,32129,31931,32487,33338,34297,35155
Licking,Population in Households and Group Quarters,Household Population 18 - 64,103561.0,104557.0,107815,111099,119874,126185,131569,135901
Logan,Population in Households and Group Quarters,Household Population 18 - 64,26772.0,26757.0,26033,25638,25697,25954,26401,26932
Madison,Population in Households and Group Quarters,Household Population 18 - 64,22904.0,23202.0,23729,24323,25308,26555,27828,29023
Marion,Population in Households and Group Quarters,Household Population 18 - 64,34460.0,34367.0,33188,32538,33111,33789,34121,34142
Morrow,Population in Households and Group Quarters,Household Population 18 - 64,20707.0,20815.0,21085,21264,21810,22350,23015,23824
Perry,Population in Households and Group Quarters,Household Population 18 - 64,20977.0,20980.0,21033,20859,21019,21403,21841,22216
Pickaway,Population in Households and Group Quarters,Household Population 18 - 64,32478.0,32870.0,34126,35671,37577,39685,41590,43518
Ross,Population in Households and Group Quarters,Household Population 18 - 64,41998.0,41949.0,40435,39472,39074,39305,39283,39356
Union,Population in Households and Group Quarters,Household Population 18 - 64,36551.0,37648.0,37456,39611,42470,45837,49816,53766
15-County Region,Population in Households and Group Quarters,Household Population 65 and Older,341985.0,343454.0,399572,447734,481644,496398,503530,518728
10-County Region,Population in Households and Group Quarters,Household Population 65 and Older,303790.0,305239.0,356702,401400,433916,448826,456784,473007
Delaware,Population in Households and Group Quarters,Household Population 65 and Older,31347.0,32050.0,41049,51437,61823,70516,77533,84802
Fairfield,Population in Households and Group Quarters,Household Population 65 and Older,25399.0,25671.0,29001,32417,34331,34943,34960,35417
Fayette,Population in Households and Group Quarters,Household Population 65 and Older,5098.0,5108.0,5548,5968,6149,6188,6135,6090
Franklin,Population in Households and Group Quarters,Household Population 65 and Older,163681.0,163356.0,189905,209447,221547,224872,226381,234103
Hocking,Population in Households and Group Quarters,Household Population 65 and Older,5387.0,5404.0,5970,6406,6565,6542,6351,6114
Knox,Population in Households and Group Quarters,Household Population 65 and Older,11379.0,11400.0,13002,14042,14477,14245,13779,13430
Licking,Population in Households and Group Quarters,Household Population 65 and Older,30031.0,30320.0,35084,39306,42816,43167,42127,42136
Logan,Population in Households and Group Quarters,Household Population 65 and Older,8529.0,8521.0,9500,10335,10611,10655,10560,10410
Madison,Population in Households and Group Quarters,Household Population 65 and Older,6862.0,6949.0,8244,9613,10606,11287,11559,11871
Marion,Population in Households and Group Quarters,Household Population 65 and Older,11495.0,11508.0,12713,13372,13339,12813,12078,11529
Morrow,Population in Households and Group Quarters,Household Population 65 and Older,6319.0,6356.0,7614,8600,9377,9863,10106,10283
Perry,Population in Households and Group Quarters,Household Population 65 and Older,6029.0,6047.0,7136,7853,8333,8370,8293,8249
Pickaway,Population in Households and Group Quarters,Household Population 65 and Older,9266.0,9377.0,10772,12145,13351,14154,14738,15204
Ross,Population in Households and Group Quarters,Household Population 65 and Older,13152.0,13135.0,14716,15772,16070,15817,15407,14858
Union,Population in Households and Group Quarters,Household Population 65 and Older,8011.0,8252.0,9318,11021,12249,12966,13523,14232
15-County Region,Population in Households and Group Quarters,Household Population Under 18,561147.0,564187.0,586400,608728,636423,660497,678428,698131
10-County Region,Population in Households and Group Quarters,Household Population Under 18,514208.0,517270.0,539882,562916,590693,614819,632573,652072
Delaware,Population in Households and Group Quarters,Household Population Under 18,53686.0,55733.0,57779,62454,68385,74536,80238,85554
Fairfield,Population in Households and Group Quarters,Household Population Under 18,37440.0,37841.0,39868,42432,45293,47627,49683,51680
Fayette,Population in Households and Group Quarters,Household Population Under 18,6614.0,6600.0,6617,6510,6617,6856,7091,7290
Franklin,Population in Households and Group Quarters,Household Population Under 18,309436.0,308853.0,324448,335629,347848,359163,366055,375090
Hocking,Population in Households and Group Quarters,Household Population Under 18,5996.0,6016.0,5896,5871,5798,5758,5674,5611
Knox,Population in Households and Group Quarters,Household Population Under 18,14868.0,14901.0,15206,15476,16059,16486,16775,17050
Licking,Population in Households and Group Quarters,Household Population Under 18,41129.0,41526.0,43785,45857,49464,51477,52202,52931
Logan,Population in Households and Group Quarters,Household Population Under 18,10275.0,10268.0,10073,9941,9959,9949,9872,9764
Madison,Population in Households and Group Quarters,Household Population Under 18,8858.0,8970.0,8999,9104,9399,9511,9886,10300
Marion,Population in Households and Group Quarters,Household Population Under 18,13726.0,13740.0,13735,13586,13124,12801,12906,13135
Morrow,Population in Households and Group Quarters,Household Population Under 18,7664.0,7705.0,7441,7507,7843,7989,8009,7950
Perry,Population in Households and Group Quarters,Household Population Under 18,8095.0,8095.0,8339,8346,8415,8520,8595,8700
Pickaway,Population in Households and Group Quarters,Household Population Under 18,12302.0,12449.0,12583,12925,13339,13651,14234,14912
Ross,Population in Households and Group Quarters,Household Population Under 18,15959.0,15938.0,15593,15144,14941,14595,14623,14694
Union,Population in Households and Group Quarters,Household Population Under 18,15099.0,15552.0,16038,17946,19939,21578,22585,23470
15-County Region,Residential Labor Force,Labor Force,1262537.0,1273199.0,1315852,1365896,1438998,1504356,1563719,1618868
10-County Region,Residential Labor Force,Labor Force,1165381.0,1176264.0,1219799,1270702,1343800,1408645,1467146,1521445
Delaware,Residential Labor Force,Labor Force,114891.0,118150.0,131187,145617,160909,175061,188910,203502
Fairfield,Residential Labor Force,Labor Force,79710.0,80424.0,83280,86584,91241,96111,101063,105823
Fayette,Residential Labor Force,Labor Force,13086.0,13121.0,13259,13501,13711,13907,14168,14477
Franklin,Residential Labor Force,Labor Force,726058.0,731431.0,752920,778090,816566,849882,878309,902851
Hocking,Residential Labor Force,Labor Force,13142.0,13073.0,12799,12451,12299,12215,12199,12149
Knox,Residential Labor Force,Labor Force,30473.0,30456.0,30391,30386,30962,31618,32388,33080
Licking,Residential Labor Force,Labor Force,89407.0,90319.0,93968,97617,105362,110546,114498,117974
Logan,Residential Labor Force,Labor Force,22389.0,22310.0,21993,21829,21858,22078,22455,22802
Madison,Residential Labor Force,Labor Force,19956.0,20158.0,20969,21735,22718,23731,24705,25716
Marion,Residential Labor Force,Labor Force,27947.0,27820.0,27312,27117,27521,27825,27821,27631
Morrow,Residential Labor Force,Labor Force,18036.0,18136.0,18538,18719,19232,19721,20253,20862
Perry,Residential Labor Force,Labor Force,15812.0,15859.0,16047,15992,16126,16344,16612,16899
Pickaway,Residential Labor Force,Labor Force,26021.0,26311.0,27469,28856,30523,32143,33647,35016
Ross,Residential Labor Force,Labor Force,32727.0,32572.0,31955,31421,31204,31167,31139,31096
Union,Residential Labor Force,Labor Force,32882.0,33059.0,33765,35981,38766,42007,45552,48990
15-County Region,Residential Labor Force,Workers,1205278.0,1215508.0,1256420,1304398,1374693,1437357,1494364,1547411
10-County Region,Residential Labor Force,Workers,1113293.0,1123734.0,1165489,1214278,1284570,1346731,1402922,1455160
Delaware,Residential Labor Force,Workers,111824.0,115004.0,127725,141809,156745,170552,184044,198235
Fairfield,Residential Labor Force,Workers,76347.0,77027.0,79745,82920,87392,92057,96794,101342
Fayette,Residential Labor Force,Workers,12431.0,12463.0,12592,12824,13020,13220,13472,13763
Franklin,Residential Labor Force,Workers,690361.0,695458.0,715847,739679,776482,808149,835226,858616
Hocking,Residential Labor Force,Workers,12643.0,12579.0,12322,11987,11841,11763,11745,11694
Knox,Residential Labor Force,Workers,29158.0,29141.0,29069,29056,29603,30223,30952,31611
Licking,Residential Labor Force,Workers,85903.0,86778.0,90278,93771,101207,106187,110000,113356
Logan,Residential Labor Force,Workers,21388.0,21315.0,21023,20870,20902,21108,21464,21792
Madison,Residential Labor Force,Workers,19186.0,19382.0,20164,20905,21854,22839,23792,24772
Marion,Residential Labor Force,Workers,26201.0,26078.0,25587,25379,25739,26024,26034,25881
Morrow,Residential Labor Force,Workers,17535.0,17633.0,18024,18220,18723,19188,19708,20305
Perry,Residential Labor Force,Workers,14855.0,14898.0,15070,15026,15163,15361,15608,15878
Pickaway,Residential Labor Force,Workers,24858.0,25137.0,26252,27579,29175,30746,32194,33519
Ross,Residential Labor Force,Workers,30668.0,30519.0,29924,29413,29197,29174,29153,29124
Union,Residential Labor Force,Workers,31920.0,32096.0,32798,34960,37650,40766,44178,47523
